Manga Title,Score,Ranking,Type/Volume Count,Publication,Members,Link
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.77,['39'],Light Novel (18 vols),Mar 2011 - Apr 2021,"69,026 members",https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
One Punch-Man,8.75,['40'],Manga (? vols),Jun 2012 -,"461,749 members",https://myanimelist.net/manga/44347/One_Punch-Man
Chainsaw Man,8.74,['41'],Manga (? vols),Dec 2018 -,"577,607 members",https://myanimelist.net/manga/116778/Chainsaw_Man
Hunter x Hunter,8.73,['42'],Manga (? vols),Mar 1998 -,"260,152 members",https://myanimelist.net/manga/26/Hunter_x_Hunter
Kokou no Hito,8.73,['43'],Manga (17 vols),Nov 2007 - Oct 2011,"93,261 members",https://myanimelist.net/manga/7375/Kokou_no_Hito
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.73,['44'],Light Novel (? vols),Jan 2015 -,"13,203 members",https://myanimelist.net/manga/86119/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen
Hajime no Ippo,8.72,['45'],Manga (? vols),Sep 1989 -,"81,698 members",https://myanimelist.net/manga/7/Hajime_no_Ippo
Mushishi,8.72,['46'],Manga (10 vols),Nov 1999 - Aug 2008,"79,864 members",https://myanimelist.net/manga/418/Mushishi
Utsuro no Hako to Zero no Maria,8.71,['47'],Light Novel (7 vols),Jan 2009 - Jun 2015,"100,997 members",https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria
Shoujo Shuumatsu Ryokou,8.70,['48'],Manga (6 vols),Feb 2014 - Jan 2018,"62,805 members",https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou
Death Note,8.70,['49'],Manga (12 vols),Dec 2003 - May 2006,"383,972 members",https://myanimelist.net/manga/21/Death_Note
Sayonara Eri,8.70,['50'],Manga (1 vols),Apr 2022 - Apr 2022,"97,625 members",https://myanimelist.net/manga/145863/Sayonara_Eri
